]poiughfh,Receipe,Time,Ingredients,Instructions
tomato soup no. 2,,,"    1 tablespoon of thick tomato paste
    1/3 teaspoon of ""rosoł z kury"" (chicken broth)
    1 tablespoon of semolina (kaszka manna)
    Salt to taste
    Sour cream, for thickening (about 1-2 tablespoons)

Optional:

    Leftover cooked rice, if available","    Follow the same steps as in ""zupa pomidorowa nr 1"" to prepare the base of the soup. Dissolve the tomato paste and chicken broth in boiling water.
    Bring the mixture back to a boil.
    Slowly sprinkle in 1 tablespoon of semolina (kaszka manna) while stirring continuously.
    Reduce the heat to low and simmer the soup for about 8 minutes, stirring occasionally.
    Taste the soup and add salt as needed.
    Before serving, stir in 1 or 2 tablespoons of sour cream to thicken the soup and add a creamy flavor. Adjust the amount of sour cream according to your taste preference.
    If you have leftover cooked rice from the previous day, you can add it to the reheated soup. Simply stir in the rice when the soup is ready, but in this case, you can omit adding the semolina.

Once the soup is ready, serve it hot and enjoy the delightful tomato flavor enhanced by the addition of sour cream or the comforting texture of cooked rice if desired."
hearty pea soup,,,"    1/2 kg of dried split peas
    A small piece of butter or margarine (about the size of a sugar cube or slightly more)
    1/2 teaspoon of wheat flour
    1 heaping tablespoon of pea flour
    1.5-2 cups of warm water
    Salt to taste
    Optional: crushed garlic clove or diced sausage for added flavor
    Toasted bread croutons (grzanki) for serving","    Rinse the dried split peas thoroughly under running water and drain.
    In a pot, melt the butter or margarine over medium heat.
    Add the wheat flour and pea flour to the pot and stir constantly to combine the ingredients. Be careful not to let it burn.
    Gradually pour in 1.5 to 2 cups of warm water while stirring continuously to create a smooth mixture.
    Add the rinsed split peas to the pot and stir well.
    Season with salt to taste.
    If desired, add a crushed garlic clove or diced sausage for additional flavor.
    Bring the mixture to a boil and then reduce the heat to low. Cover the pot and let it simmer for at least 15 minutes, or until the split peas are tender and the soup has thickened.
    While the soup is cooking, prepare the toasted bread croutons by cutting bread into small cubes and toasting them in a pan with a little butter or oil until crispy and golden brown.
    Once the soup is ready, serve it hot with a portion of freshly cooked potatoes, garnished with melted butter and sautéed onions, and top it with the toasted bread croutons.

Enjoy the flavorful and nourishing zupa grochowa as a budget-friendly meal that can be prepared in under 30 minutes."
,,,,
"VARIOUS SOUPS,
UNFORTUNATELY, MORE TIME-CONSUMING",,,,
Vegetable Soup with Potatoes,,,"    Carrots
    Parsley root
    Turnip
    Celery
    Onion
    Optional: Fresh peas or cauliflower floret
    Potatoes
    Sour cream or fresh butter
    Dill
    Optional for roux: Margarine and flour

Please note that specific quantities for each ingredient are not provided in the text.","    Chop the carrots, parsley root, turnip, celery, and onion into small cubes. Optionally, you can also add fresh peas or a cauliflower floret.
    Pour 1/2 cup of boiling water over the chopped vegetables and cook them over low heat for 15 minutes.
    Add 2-3 diced potatoes and pour in 1 1/2 cups of water. Continue cooking for another 20 minutes.
    Once the vegetables are tender but not overcooked, thicken the soup by adding a spoonful of sour cream or fresh butter.
    Garnish the soup with finely chopped dill.
    Optionally, you can thicken the soup further with a roux. To prepare the roux, melt a teaspoon of margarine in a pan and add a teaspoon of flour. Stir constantly until the mixture turns a pale yellow color. Gradually add a little bit of soup (about 1/4 cup) to the roux while stirring vigorously to avoid lumps. Pour the diluted roux into the pot of soup and briefly bring it to a boil.

Please note that the specific cooking times and quantities may vary depending on personal preference and the desired consistency of the soup."
,,,,
"Spring"" Vegetable Soup:",,,"    Various vegetables (such as carrots, peas, cauliflower, broccoli, zucchini, leeks, etc.), finely chopped
    Salt, to taste
    A pinch of sugar
    2 tablespoons of sour cream
    Less than 1 teaspoon of wheat flour or 1 teaspoon of potato starch
    Chopped dill, for garnish

Please note that the specific vegetables used can vary based on personal preference and availability. Feel free to adjust the ingredient quantities according to your taste and the desired serving size.","    Finely chop various vegetables as in the previous recipe, but this time, do not add potatoes.
    Cook the chopped vegetables according to the previous recipe, simmering them covered for about 30 minutes until they become tender.
    Season the soup with salt to taste and add a pinch of sugar.
    Thicken the soup by adding 2 tablespoons of sour cream mixed with slightly less than a teaspoon of wheat flour (or a teaspoon of potato starch).
    Bring the soup to a boil again and cook for 3 minutes.
    Garnish the soup with chopped dill before serving.

Please note that the specific selection of vegetables can vary based on personal preference and availability. Adjust the cooking time as needed to ensure the vegetables are cooked to your desired tenderness."
,,,,
Cucumber Soup:,,," carrot
1 parsley root
1 small onion
Piece of celery
Pickled cucumber
½ teaspoon ""chicken broth"" extract
1 tablespoon wheat flour
1 ½ cups water
½ cup pickled cucumber juice
Salt and sugar to taste
2 tablespoons sour cream
½ teaspoon fresh butter","    Wash and peel the carrot, parsley root, onion, and celery. Cut them into small pieces.
    In a pot, bring 2 cups of water to a boil and add the chopped vegetables. You can also add ½ teaspoon of ""chicken broth"" extract for flavor.
    Peel the skin off the pickled cucumber and grate it using a coarse grater. Add the grated cucumber to the boiling vegetables.
    Simmer the mixture for about 20 minutes.
    Strain the soup through a sieve, separating the liquid from the vegetables.
    In a separate bowl, mix 1 tablespoon of wheat flour with 1 ½ cups of cooled broth from the soup and ½ cup of pickled cucumber juice. Stir until the flour is dissolved.
    Pour the flour mixture back into the pot with the strained soup and bring it to a boil once again. Stir well to avoid lumps.
    Season the soup with salt and sugar according to your taste preferences.
    Before serving, add 2 tablespoons of sour cream to the soup and stir it in.
    Serve the soup in bowls and add ½ teaspoon of fresh butter to each serving.

Enjoy the delicious and refreshing cucumber soup!"
,,,,
(Sauerkraut Soup):,,,"50 grams sauerkraut (drained)
2 cups water
1-2 teaspoons mushroom powder or 1 teaspoon liquid mushroom extract
50-100 grams regular diced sausage
Hot water, as needed
Roux for thickening (see ""Zupa jarzynowa z ziemniakami"" for instructions)","    In a pot, combine the sauerkraut and 2 cups of water. You can also add 1-2 teaspoons of mushroom powder or 1 teaspoon of liquid mushroom extract for extra flavor.
    Cook the sauerkraut over medium heat until it becomes soft and translucent. This usually takes about 20 minutes.
    After 20 minutes, add the diced sausage to the pot. If the liquid evaporates too quickly, add some hot water to maintain the desired consistency.
    Prepare the roux separately by following the instructions for thickening in the ""Zupa jarzynowa z ziemniakami"" recipe.
    Add the prepared roux to the pot and mix it well with the sauerkraut and sausage.
    Continue cooking the soup for a few more minutes to allow the flavors to blend.
    Adjust the seasoning with salt and pepper according to your taste preferences.
    Serve the Kapuśniak hot as a hearty main course.

Enjoy the traditional winter soup, Kapuśniak!"
Pearl Barley Soup,,,,"    Rinse the pearl barley under cold water.
    In a pot, combine the pearl barley, carrot, parsley root, celery, cabbage, dried mushroom, and 2 cups of water.
    Bring the mixture to a boil and simmer until the barley is cooked and tender.
    Once the barley is cooked, add the chicken broth extract to enhance the flavor of the soup.
    Remove the vegetables from the pot and cut them into small strips. Return the vegetables to the soup.
    Alternatively, you can grate the raw vegetables on a coarse grater before adding them to the soup.
    Just before serving, add a teaspoon of fresh butter to the Krupnik.
    Serve the Krupnik hot and enjoy!

Krupnik is a hearty and comforting soup, perfect for colder days."
Borscht - Red - Clear):,,,"    2 beetroots
    1 carrot
    1 parsley root
    1 leek
    1 onion
    2 cloves of garlic
    1 bay leaf
    5 black peppercorns
    4 cups vegetable or meat broth
    Salt to taste
    Sour cream or yogurt (optional, for serving)
    Fresh dill or parsley (optional, for garnish)","    Peel the beetroots, carrot, and parsley root. Grate the beetroots and finely chop the carrot and parsley root.
    In a pot, add the grated beetroots, chopped carrot, parsley root, leek (white part only), onion (halved), garlic cloves, bay leaf, and black peppercorns.
    Pour in the vegetable or meat broth and bring the mixture to a boil.
    Reduce the heat to low and simmer the soup for about 30-40 minutes until the vegetables are tender and the flavors are well combined.
    Remove the onion halves, bay leaf, and peppercorns from the soup.
    Season the soup with salt to taste.
    Optional: If you prefer a smoother consistency, you can strain the soup through a fine sieve or use a blender to puree the vegetables.
    Serve the barszcz staropolski hot. Optionally, garnish each serving with a dollop of sour cream or yogurt and sprinkle with fresh dill or parsley.
    Enjoy the rich and flavorful traditional Polish borscht!

Note: Barszcz staropolski can be served as a standalone soup or as a base for other dishes, such as adding cooked potatoes or dumplings."
Creamy Borscht):,,,"    Prepared barszcz (traditional Polish borscht)
    2-3 tablespoons sour cream
    Hard-boiled eggs, quartered (optional)","    Prepare the barszcz using one of the above recipes for traditional Polish borscht.
    Once the barszcz is cooked and ready, remove it from the heat.
    Stir in 2-3 tablespoons of sour cream into the barszcz, mixing well until it is fully incorporated.
    Optional: Add quartered hard-boiled eggs to the soup, if desired.
    Return the barszcz to low heat and warm it up gently, without boiling, for a few minutes.
    Serve the creamy borscht hot.
    Enjoy the rich and creamy flavor of the barszcz zabielany, which is a variation of traditional Ukrainian borscht.

Note: Barszcz zabielany can be served as a standalone soup or enjoyed with traditional Polish side dishes like uszka (small dumplings) or served alongside boiled potatoes and a dollop of sour cream."
,,,"    1 1/2 cups of sour milk
    1/2 cup of thick sour cream
    A handful of finely chopped chives, dill, radishes, and fresh cucumber (you can also add some pickled cucumber)
    1 tablespoon of freshly squeezed juice from grated raw red beets or beetroot vinegar (for a beautiful pink color)
    Hard-boiled eggs, quartered or finely chopped (optional)",
,"Raw Fruit Soups:
We can prepare delicious and refreshing raw fruit soups using strawberries, raspberries, blackberries, and apples.",,"For the berry soup:

    Fresh strawberries, raspberries, or blackberries (1/2 cup)
    Sour milk (1/2 cup)
    Cream (1/2 cup)
    Powdered sugar (to taste)","    Crush half a cup of berries (strawberries, raspberries, or blackberries) using a spoon.
    Mix equal parts of sour milk and cream (not too sour) and combine it with the crushed berries.
    Add powdered sugar to taste.
    The fruit soup should be served cold."
,,,For the apple soup:,
,,,"Apples (2)
Sour milk (1/2 cup)
Cream (1/2 cup)","    Grate two apples into a pulp using a nylon grater.
    Similarly, mix equal parts of sour milk and cream and add it to the grated apples.
    Optionally, add a pinch of ground cinnamon for flavor.

Both soups should be served cold for a refreshing and delightful experience."
,SOUP„nic”,,"    2 egg yolks
    2 tablespoons granulated sugar
    1 teaspoon vanilla sugar
    1 egg white
    1 teaspoon powdered sugar
    1 1/2 cups milk

Optional:

    Biscuits or Petit Beurre cookies for serving","    In a bowl, whisk the egg yolks with granulated sugar and vanilla sugar for about 10 minutes until creamy and pale.
    In a separate bowl, beat the egg white with a fork until stiff peaks form, gradually adding the powdered sugar while beating.
    Dissolve the egg yolk mixture in 1/2 cup of lukewarm milk.
    In a saucepan, heat 1 cup of milk until it comes to a simmer.
    Pour the egg yolk mixture into the saucepan with the simmering milk. Heat gently, but do not boil.
    Remove from heat and let it cool.
    Serve the soup in bowls and top each portion with a dollop of the beaten egg white, resembling a cap.
    Enjoy the soup with biscuits or Petit Beurre cookies for dipping.

Note: This recipe creates a nostalgic soup called ""nic,"" which is simple yet comforting. Adjust the sweetness according to your preference by adding more or less sugar."
,New Potatoes:,,"    New potatoes
    Water
    Salt
    Chopped dill
    Fresh butter","    Rinse the new potatoes under water to remove any dirt. Do not peel them; instead, gently scrape off the skin with a knife.
    If desired, you can soak the potatoes in water before scraping the skin. This will make it easier to remove the skin.
    Place the scraped potatoes in a pot and cover them with boiling, salted water.
    Cook the potatoes over high heat with the lid on until they are tender.
    Once the potatoes are cooked, drain the water from the pot.
    Add chopped dill and a knob of fresh butter to the pot.
    Cover the pot with a lid and shake it a few times to evenly coat the potatoes with the butter and dill.
    Serve the new potatoes while they are still hot and enjoy their delicious flavor!"
,Potatoes Boiled in Water:,,"    Potatoes
    Water
    Salt
    Butter or lard (for serving)
    Fried onions (optional, for garnish)","    Peel the potatoes and rinse them under water to remove any dirt.
    In a pot, add enough boiling water to cover the potatoes.
    Season the water with salt to taste.
    Place the pot with the potatoes on high heat and cover it with a lid.
    Allow the potatoes to cook on high heat until they are tender. This usually takes about 15-20 minutes, but cooking time may vary depending on the size of the potatoes.
    Once the potatoes are cooked, drain the water from the pot.
    Transfer the boiled potatoes to a serving plate.
    Optionally, drizzle melted butter or lard over the potatoes for added flavor.
    If desired, sprinkle fried onions on top of the potatoes for extra taste and texture.
    Serve the potatoes hot as a delicious side dish or accompaniment to your meal."
,Mashed Potatoes):,,"    Potatoes
    Water
    Salt
    Milk
    Fresh butter or milk margarine
    Chopped chives or parsley (for garnish)","    Place the potatoes in a pot and add enough water to cover them.
    Season the water with salt to taste.
    Bring the water to a boil and cook the potatoes until they are tender. This usually takes about 15-20 minutes, but cooking time may vary depending on the size of the potatoes.
    Drain the water from the pot and return the potatoes to the stove on low heat.
    Mash the hot potatoes using a spoon or a wooden masher until they reach a smooth consistency.
    Add a splash of milk and a knob of fresh butter or milk margarine to the mashed potatoes. The amount of milk and butter can be adjusted to achieve the desired texture and taste.
    Stir the mixture well until the milk and butter are fully incorporated and the mashed potatoes are creamy.
    Season with additional salt if needed.
    Transfer the mashed potatoes to a serving dish.
    Garnish with chopped chives or parsley for added flavor and presentation.
    Serve the stewed potatoes hot as a comforting and delicious side dish."
,Fried Potatoes:,,"    Potatoes
    Water
    Salt
    Lard or milk margarine
    Chopped chives or parsley
    Optional: thinly sliced onion","Cook the potatoes in boiling salted water until they are fully cooked and tender. This usually takes about 15-20 minutes, but cooking time may vary depending on the size of the potatoes.
Drain the cooked potatoes and allow them to cool slightly.
Once cooled, cut the potatoes into slices.
In a frying pan, heat lard or milk margarine over medium heat.
Add the potato slices to the hot fat and fry them until they are golden and crispy on both sides. Flip the slices occasionally to ensure even browning.
If desired, you can also fry thinly sliced onions in the same fat until they become caramelized and golden."
,Potato Pancakes:,,"    6 large potatoes
    1 small onion
    Less than a tablespoon of wheat flour (optional)
    Salt and pepper to taste
    Optional: raw egg
    Cooking oil or lard for frying
    Sauerkraut salad, mushroom sauce, tomato sauce, or thick sour cream for serving","    Peel and grate the potatoes using a grater. Squeeze out any excess liquid from the grated potatoes and set aside the separated juice.
    Finely grate the onion and add it to the grated potatoes.
    If desired, add a raw egg to the potato and onion mixture.
    Sprinkle the mixture with salt, pepper, and wheat flour (if using). Mix everything together thoroughly.
    Heat cooking oil or lard in a frying pan over medium heat until hot.
    Take spoonfuls of the potato mixture and drop them onto the hot pan, flattening them with the back of the spoon to form thin pancakes.
    Fry the pancakes until they become golden brown on one side, then flip them using a knife and fry the other side until crispy and cooked through.
    Once cooked, transfer the potato pancakes to a paper towel-lined plate to absorb any excess oil.
    Serve the hot, crispy potato pancakes with sauerkraut salad, mushroom sauce, tomato sauce, or a dollop of thick sour cream.
    Enjoy the delicious potato pancakes as a main dish or as a side accompanied by your preferred sauce or topping.

Note: The traditional accompaniments mentioned in the recipe, such as sauerkraut salad, mushroom sauce, tomato sauce, or sour cream, are all great options to enhance the flavor of the potato pancakes, but feel free to serve them with any toppings or sauces of your choice."
,Potato Patties with Boiled Potatoes:,,"    Cooked and cooled potatoes
    1 tablespoon of sour cream
    1 raw egg
    Bread crumbs or wheat flour (as needed)
    Salt and pepper to taste (or a pinch of paprika)
    Margarine or lard for frying
    Accompaniments: any salad or hot sauce (tomato, mushroom, onion, dill)","    Mash the cooked and cooled potatoes until smooth.
    Add sour cream and raw egg to the mashed potatoes. Mix well.
    If the mixture is too runny, add some bread crumbs or wheat flour to achieve a firmer consistency.
    Season the mixture with salt and pepper (or a pinch of paprika). Adjust the seasoning according to your taste.
    Shape the mixture into small, flat patties or cylindrical shapes.
    Coat the patties with bread crumbs or flour.
    Heat margarine or lard in a frying pan over medium heat.
    Place the patties in the hot pan and fry them until golden brown on both sides.
    Once cooked, transfer the potato patties to a paper towel-lined plate to remove any excess oil.
    Serve the hot potato patties with your choice of salad or hot sauce, such as tomato, mushroom, onion, or dill sauce.
    Enjoy the delicious potato patties as a main dish or as a side, accompanied by your preferred sauce or topping.

Note: The recipe mentions ""Kopytka"" as an optional serving suggestion. Kopytka are a type of Polish potato dumplings similar to gnocchi. If you'd like to try them, there are specific recipes available for making Kopytka from boiled potatoes."
," Polish potato dumplings), ",,"    6-8 cooked and mashed potatoes (cooled)
    1 heaping tablespoon of wheat flour
    1 whole egg
    Salt to taste
    Semolina or bread crumbs (for adjusting consistency)","      In a mixing bowl, combine the mashed potatoes, wheat flour, egg, and salt. Mix well.
    If the mixture is too soft, add a small amount of semolina or bread crumbs to thicken it.
    On a floured surface or parchment paper, roll the dough into long rolls about the thickness of a finger.
    Cut the rolls into 4-centimeter pieces to form small dumplings.
    Bring a pot of salted water to a boil.
    Drop the dumplings into the boiling water. Cook until they float to the surface, indicating they are done.
    Remove the cooked dumplings from the water using a slotted spoon and drain them on a sieve.

You can serve ""Kopytka"" with various toppings or sauces, such as butter, fried onions, mushroom sauce, or sour cream. Enjoy!
    In a separate pan, melt some diced bacon until crispy. Optionally, you can also add fried onions.
    Pour the melted bacon (and onions) over the dumplings on the plate.
    Another option is to pan-fry the cooled ""Kopytka"" dumplings in hot fat until golden brown and crispy.
    You can sprinkle some cottage cheese on top or serve them with your choice of hot sauce, such as onion, tomato, or mushroom sauce.
    In the vegetable season, ""Kopytka"" can be served with a side of salad.

Enjoy your delicious ""Kopytka"" dumplings prepared with your preferred toppings or sauces!"
,"stuffed potatoes, ",,"    4-5 potatoes of equal size
    Leftover cooked or roasted meat or 100 grams of sausage
    1 hard-boiled egg
    1 tablespoon of sour cream
    Green or fried onions
    Salt and pepper to taste
    Melted fat (butter, margarine, or lard) for drizzling
    Tomato or mushroom sauce for serving","    Peel and wash 4-5 potatoes of equal size. Cut off the top of each potato and hollow out the centers.
    For the filling, use leftover cooked or roasted meat (or 100 grams of sausage). Finely chop the meat or sausage, and mix it with a chopped hard-boiled egg, a tablespoon of sour cream, and green or fried onions. Season with salt and pepper to taste, and mix everything thoroughly.
    Fill the hollowed-out raw potatoes with the prepared filling. Place them in a baking dish or a Dutch oven and cover them with the cut-off tops.
    Before placing the dish in the oven (or covering the Dutch oven), drizzle melted fat (butter, margarine, or lard) over the potatoes.
    Bake until the potatoes are nicely browned. To ensure they are cooked through, you can test them with a fork.
    Serve the stuffed potatoes with tomato or mushroom sauce.

Enjoy your delicious stuffed potatoes with your choice of sauce!"
,baked potatoes with eggs:,,"    8 cold boiled potatoes, sliced
    2 hard-boiled eggs, sliced
    2 tablespoons of lard or margarine
    Finely chopped onion
    Fat for greasing the baking dish and sprinkling with breadcrumbs
    2 tablespoons of sour cream
    Pickled cucumber or sauerkraut salad for serving

Note: The recipe mentions using a baking dish or a Prodiż (a type of baking pan). The baking time is approximately 30-45 minutes.

Please note that the specific quantities of ingredients can be adjusted according to your preference.","    Preheat your oven to the appropriate temperature.
    In a frying pan, heat two tablespoons of lard or margarine and sauté the finely chopped onion until it becomes golden brown.
    Grease a baking dish or a Prodiż with fat and sprinkle it with breadcrumbs to prevent sticking.
    Layer the sliced potatoes in the greased baking dish, followed by a layer of sliced hard-boiled eggs.
    Pour the melted fat with sautéed onions over the potatoes and eggs.
    Repeat the layers of potatoes, eggs, and fat with onions until all the ingredients are used.
    Drizzle two tablespoons of sour cream over the top layer.
    Place the baking dish in the preheated oven and bake for approximately 30-45 minutes, or until the potatoes are golden and crispy.
    Carefully remove the baked potatoes from the baking dish and transfer them to a serving plate, taking care not to let them fall apart.
    Serve the baked potatoes with eggs with pickled cucumber or sauerkraut salad on the side.

Enjoy your delicious baked potatoes with eggs!"
,potato salad ,,"    3-4 boiled, cold potatoes
    1 tablespoon refined oil
    2 teaspoons wine vinegar
    1 small raw onion, finely chopped
    1 bunch of chives, chopped
    Salt and pepper to taste",
,Befsztyk Tatarski (Tartar Steak) ,,"    Finely chopped or ground beef tenderloin (or horse meat, according to preference)
    Finely chopped onion
    Black pepper
    Olive oil
    Raw egg yolk
    Chopped chives
    Mustard (optional)
    Salt (optional, if desired)","    In a bowl, combine the finely chopped or ground beef with the chopped onion, black pepper, and a drizzle of olive oil. Mix well.
    If desired, add the raw egg yolk, chopped chives, and mustard to the mixture. Mix thoroughly.
    Season with salt if desired, although traditionally the dish is not heavily salted.
    Shape the mixture into a round patty or form individual portions.
    Serve the Befsztyk Tatarski as is, without additional seasoning, or according to personal preference.
    If serving with potatoes, prepare boiled potatoes separately.
    Optionally, you can spread the Befsztyk Tatarski on slices of toasted French bread or light rye bread for an alternative presentation.
    Enjoy the Befsztyk Tatarski as a main dish accompanied by green salad, ""mizeria"" (Polish cucumber salad), or any other desired salad.

Note: Befsztyk Tatarski is typically served raw or lightly seared, so it is important to use fresh and high-quality ingredients and follow proper food safety practices."
,Minced Meat Cutlets) ,,"00 g minced meat (beef, pork, or veal)
1 slice of bread (preferably stale) soaked in water and squeezed
1 raw egg
1 small onion, finely grated
Salt and pepper to taste
Bread crumbs for coating
Cooking oil or fat for frying","    In a bowl, mix the minced meat thoroughly by hand.
    Add the soaked and squeezed bread, raw egg, grated onion, salt, and pepper to the bowl. Mix all the ingredients together until well combined.
    If the mixture is too loose or wet, add some bread crumbs to achieve a firmer consistency.
    Shape the mixture into 2 small patties or desired shapes.
    Coat the patties with bread crumbs, pressing lightly to adhere the crumbs.
    Heat cooking oil or fat in a frying pan over medium heat.
    Place the coated patties in the hot oil and fry for about 4 minutes on each side, or until golden brown and cooked through.
    Once cooked, transfer the Kotleciki Siekane to a paper towel-lined plate to remove any excess oil.
    Serve the cutlets hot as a main dish with a side of potatoes, vegetables, or salad.
    Kotleciki Siekane can also be enjoyed cold, making them a convenient option for picnics or travel snacks.

Note: You can customize the meat mixture by using a combination of different meats, such as beef and pork or beef and veal, to suit your taste preferences."
,(breaded pork cutlet),,"    1 boneless pork chop (100-120 g), not too thick or fatty
    Salt
    All-purpose flour
    1 raw egg, beaten
    Bread crumbs
    Cooking oil or fat for frying","    Place the pork chop on a wooden cutting board and lightly pound it with the handle of a knife. This helps tenderize the meat and make it more tender.
    Lightly season the pork chop with salt on both sides.
    Dredge the pork chop in flour, shaking off any excess.
    Dip the floured pork chop into the beaten egg, ensuring that it is coated evenly on all sides.
    Next, press the pork chop into the bread crumbs, using the back of a fork to ensure an even coating of crumbs on both sides.
    Heat cooking oil or fat in a frying pan over medium heat.
    Once the oil is hot, carefully place the breaded pork chop into the pan. Cook for about 5 minutes on each side, or until the coating is golden brown and crispy.
    Avoid overcooking the pork chop to prevent it from becoming too dry.
    Once cooked, transfer the Kotlet Schabowy to a paper towel-lined plate to absorb any excess oil.
    Serve the breaded pork cutlet hot as a main dish, accompanied by mashed potatoes, steamed vegetables, or a fresh salad.

Enjoy the delicious Kotlet Schabowy ""panierowany""!"
, alternate recipe for Kotlet Schabowy,,"    1 boneless pork chop (100-120 g)
    Salt
    All-purpose flour
    Cooking oil or fat for frying","    Place the pork chop on a wooden cutting board and lightly pound it with the handle of a knife to tenderize it.
    Season the pork chop with salt on both sides.
    Dredge the pork chop in flour, coating it lightly on both sides. Shake off any excess flour.
    Heat cooking oil or fat in a frying pan over medium heat.
    Once the oil is hot, carefully place the floured pork chop into the pan.
    Cook the pork chop for about 5 minutes on each side, or until it is cooked through and golden brown on the outside.
    Avoid overcooking the pork chop to prevent it from becoming too dry.
    Once cooked, transfer the Kotlet Schabowy to a paper towel-lined plate to absorb any excess oil.
    Serve the pork cutlet hot as a main dish, accompanied by mashed potatoes, steamed vegetables, or a fresh salad.

This method involves simply coating the pork chop with flour and frying it without the additional steps of dipping it in beaten egg and bread crumbs. The result is a simpler version of Kotlet Schabowy that still maintains its delicious flavor."
,"Kotlet Schabowy ""au naturel""",," boneless pork chop (100-120 g)
Salt
Cooking oil or fat for frying","    Place the pork chop on a wooden cutting board and lightly pound it with the handle of a knife to tenderize it.
    Season the pork chop with salt on both sides.
    Heat cooking oil or fat in a frying pan over high heat until it is very hot.
    Carefully place the seasoned pork chop directly onto the hot fat in the pan.
    Sear the pork chop for a few minutes on each side until it is cooked through and golden brown on the outside.
    Adjust the heat if necessary to ensure the pork chop cooks evenly without burning.
    Once cooked, transfer the Kotlet Schabowy to a paper towel-lined plate to remove any excess oil.
    Serve the pork cutlet hot as a main dish, accompanied by mashed potatoes, steamed vegetables, or a fresh salad.

This method skips the step of coating the pork chop with flour or dipping it in beaten egg and bread crumbs. Instead, the seasoned pork chop is seared directly in hot oil or fat, resulting in a simple and flavorful Kotlet Schabowy."
,"(Pork Cutlet ""au naturel"" with Apples",,"    1 boneless pork chop (100-120 g)
    Salt
    Ground black pepper
    Cooking oil or fat for frying
    1 apple, cored and thinly sliced
    1 tablespoon butter
    1 tablespoon sugar
    1/2 teaspoon ground cinnamon","    Season the pork chop with salt and pepper on both sides.
    Heat cooking oil or fat in a frying pan over medium-high heat.
    Carefully place the seasoned pork chop in the hot pan and cook for a few minutes on each side until it is cooked through and golden brown. Adjust the heat if needed to prevent burning.
    While the pork chop is cooking, prepare the caramelized apples. In a separate pan, melt the butter over medium heat.
    Add the sliced apples, sugar, and ground cinnamon to the pan with butter. Cook the apples, stirring occasionally, until they are tender and lightly caramelized.
    Once the pork chop is cooked, remove it from the pan and transfer it to a plate.
    Serve the pork chop topped with the caramelized apples.
    Accompany the dish with your choice of side dishes, such as mashed potatoes, steamed vegetables, or a fresh salad.

The combination of the juicy pork chop and sweet caramelized apples adds a delightful twist to the traditional Kotlet Schabowy. Enjoy your meal!"
,"Pork Cutlet ""au naturę!"" with Onion)",," boneless pork chop (100-120 g)
Salt
Ground black pepper
Cooking oil or fat for frying
1 onion, thinly sliced
Mustard (optional)","    Season the pork chop with salt and pepper on both sides.
    Heat cooking oil or fat in a frying pan over medium-high heat.
    Carefully place the seasoned pork chop in the hot pan and cook for a few minutes on each side until it is cooked through and golden brown. Adjust the heat if needed to prevent burning.
    After cooking the pork chop for about 2 minutes on each side, add the thinly sliced onion to the pan next to the chop. Stir the onions occasionally with a fork to avoid burning.
    Continue cooking the pork chop and onions together until the onions are soft and lightly caramelized.
    Once the pork chop is cooked and the onions are caramelized, remove them from the pan and transfer them to a plate.
    Serve the pork chop topped with the caramelized onions.
    If desired, accompany the dish with a dollop of mustard on the side for added flavor.
    Enjoy the juicy and tender pork chop with the flavorful caramelized onions.

Remember, a properly cooked kotlet schabowy should be juicy and tender. Enjoy your meal!"
,Veal Cutlet),,"    Veal cutlets
    Salt
    Ground black pepper
    All-purpose flour
    Eggs
    Bread crumbs
    Cooking oil or fat for frying","    Season the veal cutlets with salt and pepper on both sides.
    Prepare three shallow bowls or plates: one with flour, one with beaten eggs, and one with bread crumbs.
    Dredge each veal cutlet in the flour, shaking off any excess.
    Dip the floured cutlet into the beaten eggs, allowing any excess to drip off.
    Coat the cutlet with bread crumbs, pressing gently to ensure the crumbs adhere to the meat.
    Heat cooking oil or fat in a frying pan over medium-high heat.
    Carefully place the breaded veal cutlets in the hot pan and cook for a few minutes on each side until they are cooked through and golden brown. Adjust the heat if needed to prevent burning.
    Once the veal cutlets are cooked, transfer them to a paper towel-lined plate to drain any excess oil.
    Serve the veal cutlets hot, accompanied by your choice of side dishes, such as mashed potatoes, steamed vegetables, or a fresh salad.

Note: Cooking times may vary depending on the thickness of the veal cutlets. It's essential to cook them until they reach a safe internal temperature and are no longer pink in the center.

Enjoy your delicious veal cutlets!"
," veal cutlets with cream, ",,"    Veal cutlets
    All-purpose flour
    Salt
    Pepper
    Cooking fat (such as oil or butter)
    Sour cream","    Prepare the veal cutlets, removing any excess fat and place them on a cutting board.
    In a bowl, place the all-purpose flour and lightly season with salt and pepper.
    Dredge the veal cutlets in the flour, making sure they are evenly coated. Shake off any excess flour.
    Heat the cooking fat in a frying pan over medium heat.
    Add the veal cutlets to the hot fat and fry on both sides until they turn golden brown and are well cooked. Make sure they are cooked through. The cooking time will depend on the thickness of the cutlets.
    Once the veal cutlets are done, transfer them to a plate and cover with aluminum foil to keep them warm.
    In the same pan, pour a tablespoon of sour cream and heat it over medium heat, stirring, until the sour cream is heated through and combines with the juices and fat from the pan.
    Pour the prepared cream sauce over the veal cutlets.
    Serve the veal cutlets with cream immediately, preferably with your favorite side dishes such as potatoes, salad, or vegetables.

Enjoy your meal!"
